Using cache found in /home/luke/.cache/torch/hub/pytorch_vision_v0.10.0
cudaStreamIsCapturing() [time: 777.195 ms, acc_time: 777.195 ms]

cudaMalloc(D0 (0x7f5fc7000000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D0(0x7f5fc7000000) <- H0(0x5617b2187980), 93000 bytes) [time: 0.049 ms, acc_time: 777.244 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D1(0x7f5fc7093000) <- H1(0x5617ae422a00), 9300 bytes) [time: 0.007 ms, acc_time: 777.251 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D2(0x7f5fc709c400) <- H2(0x5617ae42c2c0), 100 bytes) [time: 0.004 ms, acc_time: 777.255 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D3(0x7f5fc709c600) <- H3(0x5617ae42c600), 100 bytes) [time: 0.003 ms, acc_time: 777.258 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D4(0x7f5fc709c800) <- H4(0x5617ae42e240), 100 bytes) [time: 0.002 ms, acc_time: 777.26 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D5(0x7f5fc709ca00) <- H5(0x5617ae42f340), 100 bytes) [time: 0.002 ms, acc_time: 777.262 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D6(0x7f5fc709cc00) <- H6(0x5617ae42fc80), 8 bytes) [time: 0.002 ms, acc_time: 777.264 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D7(0x7f5fc709ce00) <- H7(0x5617ae442740), 10000 bytes) [time: 0.007 ms, acc_time: 777.271 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D8(0x7f5fc70ace00) <- H8(0x5617ae452b00), 400 bytes) [time: 0.003 ms, acc_time: 777.274 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D9(0x7f5fc70ad200) <- H9(0x5617ae4531c0), 400 bytes) [time: 0.002 ms, acc_time: 777.276 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D10(0x7f5fc70ad600) <- H10(0x5617ae453800), 400 bytes) [time: 0.002 ms, acc_time: 777.278 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D11(0x7f5fc70ada00) <- H11(0x5617ae453cc0), 400 bytes) [time: 0.002 ms, acc_time: 777.28 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D12(0x7f5fc70ade00) <- H12(0x5617ae4541c0), 8 bytes) [time: 0.002 ms, acc_time: 777.282 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D13(0x7f5fc70ae000) <- H13(0x5617ae454440), 12000 bytes) [time: 0.008 ms, acc_time: 777.29 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D14(0x7f5fc70c0000) <- H14(0x5617ae466880), 400 bytes) [time: 0.003 ms, acc_time: 777.293 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D15(0x7f5fc70c0400) <- H15(0x5617ae466ec0), 400 bytes) [time: 0.002 ms, acc_time: 777.295 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D16(0x7f5fc70c0800) <- H16(0x5617ae467540), 400 bytes) [time: 0.002 ms, acc_time: 777.297 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D17(0x7f5fc70c0c00) <- H17(0x5617ae467a40), 400 bytes) [time: 0.002 ms, acc_time: 777.299 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D18(0x7f5fc70c1000) <- H18(0x5617ae467f00), 8 bytes) [time: 0.002 ms, acc_time: 777.301 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D19(0x7f5fc70c1200) <- H19(0x5617ae468180), 40000 bytes) [time: 0.019 ms, acc_time: 777.32 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D20(0x7f5fc7101200) <- H20(0x5617ae4a8580), 400 bytes) [time: 0.003 ms, acc_time: 777.323 ms]

