Using cache found in /home/luke/.cache/torch/hub/pytorch_vision_v0.10.0
cudaStreamIsCapturing() [time: 775.442 ms, acc_time: 775.442 ms]

cudaMalloc(D0 (0x7f00e7000000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D0(0x7f00e7000000) <- H0(0x556862b17980), 93000 bytes) [time: 0.052 ms, acc_time: 775.494 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D1(0x7f00e7093000) <- H1(0x5568615306c0), 9300 bytes) [time: 0.007 ms, acc_time: 775.501 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D2(0x7f00e709c400) <- H2(0x55686153a0c0), 100 bytes) [time: 0.004 ms, acc_time: 775.505 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D3(0x7f00e709c600) <- H3(0x55686153a400), 100 bytes) [time: 0.003 ms, acc_time: 775.508 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D4(0x7f00e709c800) <- H4(0x55686153c040), 100 bytes) [time: 0.003 ms, acc_time: 775.511 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D5(0x7f00e709ca00) <- H5(0x55686153d140), 100 bytes) [time: 0.002 ms, acc_time: 775.513 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D6(0x7f00e709cc00) <- H6(0x55686153da80), 8 bytes) [time: 0.002 ms, acc_time: 775.515 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D7(0x7f00e709ce00) <- H7(0x556861550540), 8000 bytes) [time: 0.004 ms, acc_time: 775.519 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D8(0x7f00e70a4e00) <- H8(0x556861558900), 200 bytes) [time: 0.003 ms, acc_time: 775.522 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D9(0x7f00e70a5000) <- H9(0x556861558dc0), 200 bytes) [time: 0.002 ms, acc_time: 775.524 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D10(0x7f00e70a5200) <- H10(0x556861559200), 200 bytes) [time: 0.002 ms, acc_time: 775.526 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D11(0x7f00e70a5400) <- H11(0x5568615594c0), 200 bytes) [time: 0.002 ms, acc_time: 775.528 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D12(0x7f00e70a5600) <- H12(0x5568615597c0), 8 bytes) [time: 0.002 ms, acc_time: 775.53 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D13(0x7f00e70a5800) <- H13(0x556861559a40), 4800 bytes) [time: 0.003 ms, acc_time: 775.533 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D14(0x7f00e70aa000) <- H14(0x55686155e680), 200 bytes) [time: 0.002 ms, acc_time: 775.535 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D15(0x7f00e70aa200) <- H15(0x55686155eac0), 200 bytes) [time: 0.002 ms, acc_time: 775.537 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D16(0x7f00e70aa400) <- H16(0x55686155ef40), 200 bytes) [time: 0.002 ms, acc_time: 775.539 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D17(0x7f00e70aa600) <- H17(0x55686155f240), 200 bytes) [time: 0.002 ms, acc_time: 775.541 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D18(0x7f00e70aa800) <- H18(0x55686155f500), 8 bytes) [time: 0.002 ms, acc_time: 775.543 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D19(0x7f00e70aaa00) <- H19(0x55686155f780), 20000 bytes) [time: 0.012 ms, acc_time: 775.555 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D20(0x7f00e70caa00) <- H20(0x55686157fb80), 400 bytes) [time: 0.003 ms, acc_time: 775.558 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D21(0x7f00e70cae00) <- H21(0x556861580200), 400 bytes) [time: 0.002 ms, acc_time: 775.56 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D22(0x7f00e70cb200) <- H22(0x556861580840), 400 bytes) [time: 0.002 ms, acc_time: 775.562 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D23(0x7f00e70cb600) <- H23(0x556861580d40), 400 bytes) [time: 0.002 ms, acc_time: 775.564 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D24(0x7f00e70cba00) <- H24(0x556861581200), 8 bytes) [time: 0.002 ms, acc_time: 775.566 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D25(0x7f00e70cbc00) <- H25(0x55686153e340), 10000 bytes) [time: 0.006 ms, acc_time: 775.572 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D26(0x7f00e70dbc00) <- H26(0x55686154e780), 400 bytes) [time: 0.003 ms, acc_time: 775.575 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D27(0x7f00e70dc000) <- H27(0x55686154edc0), 400 bytes) [time: 0.002 ms, acc_time: 775.577 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D28(0x7f00e70dc400) <- H28(0x55686154f440), 400 bytes) [time: 0.002 ms, acc_time: 775.579 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D29(0x7f00e70dc800) <- H29(0x55686154f940), 400 bytes) [time: 0.002 ms, acc_time: 775.581 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D30(0x7f00e70dcc00) <- H30(0x55686154fe00), 8 bytes) [time: 0.002 ms, acc_time: 775.583 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D31(0x7f00e70dce00) <- H31(0x556861581480), 20000 bytes) [time: 0.012 ms, acc_time: 775.595 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D32(0x7f00e70fce00) <- H32(0x5568615a18c0), 200 bytes) [time: 0.003 ms, acc_time: 775.598 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D33(0x7f00e70fd000) <- H33(0x5568615a1d00), 200 bytes) [time: 0.002 ms, acc_time: 775.6 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D34(0x7f00e70fd200) <- H34(0x5568615a21c0), 200 bytes) [time: 0.002 ms, acc_time: 775.602 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D35(0x7f00e70fd400) <- H35(0x5568615a2480), 200 bytes) [time: 0.002 ms, acc_time: 775.604 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D36(0x7f00e70fd600) <- H36(0x5568615a2780), 8 bytes) [time: 0.002 ms, acc_time: 775.606 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D37(0x7f00e70fd800) <- H37(0x5568615a2a00), 4800 bytes) [time: 0.003 ms, acc_time: 775.609 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D38(0x7f00e7102000) <- H38(0x5568615a7580), 200 bytes) [time: 0.002 ms, acc_time: 775.611 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D39(0x7f00e7102200) <- H39(0x5568615a79c0), 200 bytes) [time: 0.002 ms, acc_time: 775.613 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D40(0x7f00e7102400) <- H40(0x5568615a7e40), 200 bytes) [time: 0.002 ms, acc_time: 775.615 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D41(0x7f00e7102600) <- H41(0x5568615a8140), 200 bytes) [time: 0.002 ms, acc_time: 775.617 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D42(0x7f00e7102800) <- H42(0x5568615a8400), 8 bytes) [time: 0.002 ms, acc_time: 775.619 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D43(0x7f00e7102a00) <- H43(0x5568615a8680), 20000 bytes) [time: 0.011 ms, acc_time: 775.63 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D44(0x7f00e7122a00) <- H44(0x5568615c8a80), 400 bytes) [time: 0.002 ms, acc_time: 775.632 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D45(0x7f00e7122e00) <- H45(0x5568615c9100), 400 bytes) [time: 0.002 ms, acc_time: 775.634 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D46(0x7f00e7123200) <- H46(0x5568615c9740), 400 bytes) [time: 0.002 ms, acc_time: 775.636 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D47(0x7f00e7123600) <- H47(0x5568615c9c40), 400 bytes) [time: 0.002 ms, acc_time: 775.638 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D48(0x7f00e7123a00) <- H48(0x5568615ca0c0), 8 bytes) [time: 0.002 ms, acc_time: 775.64 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D49(0x7f00e7123c00) <- H49(0x5568615caa00), 20000 bytes) [time: 0.011 ms, acc_time: 775.651 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D50(0x7f00e7143c00) <- H50(0x5568615ead80), 200 bytes) [time: 0.003 ms, acc_time: 775.654 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D51(0x7f00e7143e00) <- H51(0x5568615eb240), 200 bytes) [time: 0.002 ms, acc_time: 775.656 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D52(0x7f00e7144000) <- H52(0x5568615eb680), 200 bytes) [time: 0.002 ms, acc_time: 775.658 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D53(0x7f00e7144200) <- H53(0x5568615eb940), 200 bytes) [time: 0.002 ms, acc_time: 775.66 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D54(0x7f00e7144400) <- H54(0x5568615ebc40), 8 bytes) [time: 0.002 ms, acc_time: 775.662 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D55(0x7f00e7144600) <- H55(0x5568615ebec0), 4800 bytes) [time: 0.003 ms, acc_time: 775.665 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D56(0x7f00e7148e00) <- H56(0x5568615f0a80), 200 bytes) [time: 0.002 ms, acc_time: 775.667 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D57(0x7f00e7149000) <- H57(0x5568615f0e80), 200 bytes) [time: 0.002 ms, acc_time: 775.669 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D58(0x7f00e7149200) <- H58(0x5568615f1300), 200 bytes) [time: 0.002 ms, acc_time: 775.671 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D59(0x7f00e7149400) <- H59(0x5568615f1600), 200 bytes) [time: 0.002 ms, acc_time: 775.673 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D60(0x7f00e7149600) <- H60(0x5568615f18c0), 8 bytes) [time: 0.002 ms, acc_time: 775.675 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D61(0x7f00e7149800) <- H61(0x5568615f1b40), 20000 bytes) [time: 0.011 ms, acc_time: 775.686 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D62(0x7f00e7169800) <- H62(0x556861611f40), 400 bytes) [time: 0.003 ms, acc_time: 775.689 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D63(0x7f00e7169c00) <- H63(0x5568616125c0), 400 bytes) [time: 0.002 ms, acc_time: 775.691 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D64(0x7f00e716a000) <- H64(0x556861612c00), 400 bytes) [time: 0.002 ms, acc_time: 775.693 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D65(0x7f00e716a400) <- H65(0x556861613100), 400 bytes) [time: 0.002 ms, acc_time: 775.695 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D66(0x7f00e716a800) <- H66(0x556861613580), 8 bytes) [time: 0.002 ms, acc_time: 775.697 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D67(0x7f00e716aa00) <- H67(0x5568616966c0), 40000 bytes) [time: 0.019 ms, acc_time: 775.716 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D68(0x7f00e71aaa00) <- H68(0x5568616d6b00), 400 bytes) [time: 0.003 ms, acc_time: 775.719 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D69(0x7f00e71aae00) <- H69(0x5568616d7140), 400 bytes) [time: 0.003 ms, acc_time: 775.722 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D70(0x7f00e71ab200) <- H70(0x5568616d77c0), 400 bytes) [time: 0.002 ms, acc_time: 775.724 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D71(0x7f00e71ab600) <- H71(0x5568616d7cc0), 400 bytes) [time: 0.002 ms, acc_time: 775.726 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D72(0x7f00e71aba00) <- H72(0x5568616d8180), 8 bytes) [time: 0.002 ms, acc_time: 775.728 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D73(0x7f00e71abc00) <- H73(0x5568616d8400), 12000 bytes) [time: 0.008 ms, acc_time: 775.736 ms]

