cudaMalloc(D0 (0x7f0fc5600000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D0(0x7f0fc5600000) <- H0(0x55ff70228e40), 9300 bytes) [time: 0.013 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D1(0x7f0fc5609400) <- H1(0x55ff6ff33d80), 100 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D2(0x7f0fc5609600) <- H2(0x55ff6ff7aac0), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D3(0x7f0fc5609800) <- H3(0x55ff6fe1e740), 4000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D4(0x7f0fc560d800) <- H4(0x55ff6fe227c0), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D5(0x7f0fc560da00) <- H5(0x55ff6ff7db80), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D6(0x7f0fc560dc00) <- H6(0x55ff70232180), 24000 bytes) [time: 0.013 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D7(0x7f0fc5631c00) <- H7(0x55ff70224e40), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D8(0x7f0fc5631e00) <- H8(0x55ff70226300), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D9(0x7f0fc5632000) <- H9(0x55ff70256200), 10000 bytes) [time: 0.006 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D10(0x7f0fc5642000) <- H10(0x55ff7021e100), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D11(0x7f0fc5642400) <- H11(0x55ff70225540), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D12(0x7f0fc5642800) <- H12(0x55ff70266280), 10000 bytes) [time: 0.006 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D13(0x7f0fc5652800) <- H13(0x55ff6fe1d940), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D14(0x7f0fc5652c00) <- H14(0x55ff6fe13540), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D15(0x7f0fc5653000) <- H15(0x55ff70276300), 10000 bytes) [time: 0.005 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D16(0x7f0fc5663000) <- H16(0x55ff6fe23580), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D17(0x7f0fc5663200) <- H17(0x55ff6fe23a00), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D18(0x7f0fc5663400) <- H18(0x55ff70286380), 24000 bytes) [time: 0.027 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D19(0x7f0fc5687400) <- H19(0x55ff6fe24e00), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D20(0x7f0fc5687600) <- H20(0x55ff6fe25240), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D21(0x7f0fc5687800) <- H21(0x55ff702aa400), 10000 bytes) [time: 0.007 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D22(0x7f0fc5697800) <- H22(0x55ff70220080), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D23(0x7f0fc5697c00) <- H23(0x55ff702207c0), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D24(0x7f0fc5698000) <- H24(0x55ff702ba480), 10000 bytes) [time: 0.006 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D25(0x7f0fc56a8000) <- H25(0x55ff70222640), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D26(0x7f0fc56a8200) <- H26(0x55ff70222a40), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D27(0x7f0fc56a8400) <- H27(0x55ff702ca500), 24000 bytes) [time: 0.012 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D28(0x7f0fc56cc400) <- H28(0x55ff70223f00), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D29(0x7f0fc56cc600) <- H29(0x55ff70224300), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D30(0x7f0fc56cc800) <- H30(0x55ff702ee580), 10000 bytes) [time: 0.006 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D31(0x7f0fc56dc800) <- H31(0x55ff6fe180c0), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D32(0x7f0fc56dcc00) <- H32(0x55ff6fe18680), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D33(0x7f0fc56dd000) <- H33(0x55ff702fe600), 20000 bytes) [time: 0.011 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D34(0x7f0fc56fd000) <- H34(0x55ff6fe1a500), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D35(0x7f0fc56fd200) <- H35(0x55ff6fe1aa80), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D36(0x7f0fc56fd400) <- H36(0x7f102f88b040), 90000 bytes) [time: 0.039 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D37(0x7f0fc578d400) <- H37(0x55ff6fe1c240), 200 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D38(0x7f0fc578d600) <- H38(0x55ff6fe1c780), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D39(0x7f0fc578d800) <- H39(0x55ff7031f0c0), 40000 bytes) [time: 0.017 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D40(0x7f0fc57cd800) <- H40(0x55ff7035f380), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D41(0x7f0fc57ce000) <- H41(0x55ff7035fe40), 800 bytes) [time: 0.002 ms]

cudaMalloc(D42 (0x7f0fc5800000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D42(0x7f0fc5800000) <- H42(0x7f102f80a040), 80000 bytes) [time: 0.036 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D43(0x7f0fc57ce800) <- H43(0x55ff703620c0), 800 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D44(0x7f0fc57cf000) <- H44(0x55ff70362b80), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D45(0x7f0fc5880000) <- H45(0x55ff70364c40), 40000 bytes) [time: 0.018 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D46(0x7f0fc57cf800) <- H46(0x55ff703a4f00), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D47(0x7f0fc57cfa00) <- H47(0x55ff703a53c0), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D48(0x7f0fc58c0000) <- H48(0x7f102f779040), 90000 bytes) [time: 0.037 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D49(0x7f0fc57cfc00) <- H49(0x55ff703a6500), 200 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D50(0x7f0fc57cfe00) <- H50(0x55ff703a69c0), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D51(0x7f0fc5950000) <- H51(0x55ff703a7840), 40000 bytes) [time: 0.017 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D52(0x7f0fc57d0000) <- H52(0x55ff703e7b00), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D53(0x7f0fc57d0800) <- H53(0x55ff703e85c0), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D54(0x7f0fc5990000) <- H54(0x55ff703ea780), 40000 bytes) [time: 0.017 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D55(0x7f0fc57d1000) <- H55(0x55ff7042aa40), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D56(0x7f0fc57d1200) <- H56(0x55ff7042af00), 200 bytes) [time: 0.002 ms]

cudaMalloc(D57 (0x7f0fc5a00000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D57(0x7f0fc5a00000) <- H57(0x7f102f6e8040), 90000 bytes) [time: 0.039 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D58(0x7f0fc57d1400) <- H58(0x55ff7042bfc0), 200 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D59(0x7f0fc57d1600) <- H59(0x55ff7042c480), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D60(0x7f0fc5a90000) <- H60(0x55ff7042d380), 40000 bytes) [time: 0.018 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D61(0x7f0fc57d1800) <- H61(0x55ff7046d640), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D62(0x7f0fc57d2000) <- H62(0x55ff7046e100), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D63(0x7f0fc5ad0000) <- H63(0x55ff704735c0), 40000 bytes) [time: 0.018 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D64(0x7f0fc57d2800) <- H64(0x55ff70227400), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D65(0x7f0fc57d2a00) <- H65(0x55ff704b3880), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D66(0x7f0fc5b10000) <- H66(0x7f102f657040), 90000 bytes) [time: 0.037 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D67(0x7f0fc57d2c00) <- H67(0x55ff704b49c0), 200 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D68(0x7f0fc57d2e00) <- H68(0x55ff704b4e80), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D69(0x7f0fc5ba0000) <- H69(0x55ff704b5d00), 40000 bytes) [time: 0.018 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D70(0x7f0fc5be0000) <- H70(0x55ff704f5f00), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D71(0x7f0fc5be0800) <- H71(0x55ff704f69c0), 800 bytes) [time: 0.002 ms]

cudaMalloc(D72 (0x7f0fc5c00000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D72(0x7f0fc5c00000) <- H72(0x7f102f5d6040), 80000 bytes) [time: 0.034 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D73(0x7f0fc5be1000) <- H73(0x55ff704f8dc0), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D74(0x7f0fc5be1400) <- H74(0x55ff704f9480), 400 bytes) [time: 0.002 ms]

cudaMalloc(D75 (0x7f0fc2000000), 1400000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D75(0x7f0fc2000000) <- H75(0x7f102f395040), 240000 bytes) [time: 0.177 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D76(0x7f0fc5be1800) <- H76(0x55ff704fab40), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D77(0x7f0fc5be1c00) <- H77(0x55ff704fb200), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D78(0x7f0fc5c80000) <- H78(0x7f102f294040), 100000 bytes) [time: 0.098 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D79(0x7f0fc5be2000) <- H79(0x55ff704fc940), 1000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D80(0x7f0fc5be3000) <- H80(0x55ff704fdc00), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D81(0x7f0fc2240000) <- H81(0x7f102f093040), 200000 bytes) [time: 0.146 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D82(0x7f0fc5be4000) <- H82(0x55ff70501700), 1000 bytes) [time: 0.004 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D83(0x7f0fc5be5000) <- H83(0x55ff705029c0), 1000 bytes) [time: 0.002 ms]

cudaMalloc(D84 (0x7f0fc3400000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D84(0x7f0fc3400000) <- H84(0x7f102ef92040), 100000 bytes) [time: 0.066 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D85(0x7f0fc5be6000) <- H85(0x55ff70506580), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D86(0x7f0fc5be6400) <- H86(0x55ff70506c40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D87(0x7f0fc2440000) <- H87(0x7f102ed51040), 240000 bytes) [time: 0.172 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D88(0x7f0fc5be6800) <- H88(0x55ff70508380), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D89(0x7f0fc5be6c00) <- H89(0x55ff70508a40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D90(0x7f0fc3500000) <- H90(0x7f102ec50040), 100000 bytes) [time: 0.066 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D91(0x7f0fc5be7000) <- H91(0x55ff7050a100), 1000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D92(0x7f0fc5be8000) <- H92(0x55ff7050b3c0), 1000 bytes) [time: 0.002 ms]

cudaMalloc(D93 (0x7f0fc3600000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D93(0x7f0fc3600000) <- H93(0x7f102eb4f040), 100000 bytes) [time: 0.066 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D94(0x7f0fc5be9000) <- H94(0x55ff7050efc0), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D95(0x7f0fc5be9400) <- H95(0x55ff7050f680), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D96(0x7f0fc2680000) <- H96(0x7f102e90e040), 240000 bytes) [time: 0.173 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D97(0x7f0fc5be9800) <- H97(0x55ff70510d40), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D98(0x7f0fc5be9c00) <- H98(0x55ff70511400), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D99(0x7f0fc3700000) <- H99(0x7f102e80d040), 100000 bytes) [time: 0.064 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D100(0x7f0fc5bea000) <- H100(0x55ff70512b40), 1000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D101(0x7f0fc5beb000) <- H101(0x55ff70513e00), 1000 bytes) [time: 0.002 ms]

cudaMalloc(D102 (0x7f0fc3800000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D102(0x7f0fc3800000) <- H102(0x7f102e70c040), 100000 bytes) [time: 0.066 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D103(0x7f0fc5bec000) <- H103(0x55ff70517980), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D104(0x7f0fc5bec400) <- H104(0x55ff70518040), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D105(0x7f0fc28c0000) <- H105(0x7f102e4cb040), 240000 bytes) [time: 0.174 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D106(0x7f0fc5bec800) <- H106(0x55ff70519780), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D107(0x7f0fc5becc00) <- H107(0x55ff70519e40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D108(0x7f0fc3900000) <- H108(0x7f102e3ca040), 100000 bytes) [time: 0.065 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D109(0x7f0fc5bed000) <- H109(0x55ff7051b540), 1000 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D110(0x7f0fc5bee000) <- H110(0x55ff7051c800), 1000 bytes) [time: 0.002 ms]

cudaMalloc(D111 (0x7f0fc3a00000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D111(0x7f0fc3a00000) <- H111(0x7f102e2c9040), 100000 bytes) [time: 0.067 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D112(0x7f0fc5bef000) <- H112(0x55ff705203c0), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D113(0x7f0fc5bef400) <- H113(0x55ff70520a80), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D114(0x7f0fc2b00000) <- H114(0x7f102e088040), 240000 bytes) [time: 0.171 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D115(0x7f0fc5bef800) <- H115(0x55ff70522180), 400 bytes) [time: 0.003 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D116(0x7f0fc5befc00) <- H116(0x55ff70522840), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D117(0x7f0fc3b00000) <- H117(0x7f102df87040), 100000 bytes) [time: 0.062 ms]

