Using cache found in /home/luke/.cache/torch/hub/hustvl_yolop_main
cudaStreamIsCapturing() [time: 797.85 ms, acc_time: 797.85 ms]

cudaMalloc(D0 (0x7f6367000000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D0(0x7f6367000000) <- H0(0x557091c15c40), 3600 bytes) [time: 0.012 ms, acc_time: 797.862 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D1(0x7f6367003600) <- H1(0x557092d29ac0), 80 bytes) [time: 0.004 ms, acc_time: 797.866 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D2(0x7f6367003800) <- H2(0x557092e44900), 80 bytes) [time: 0.003 ms, acc_time: 797.869 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D3(0x7f6367003a00) <- H3(0x557092e751c0), 80 bytes) [time: 0.002 ms, acc_time: 797.871 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D4(0x7f6367003c00) <- H4(0x557092d4a700), 80 bytes) [time: 0.002 ms, acc_time: 797.873 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D5(0x7f6367003e00) <- H5(0x55709410aa80), 8 bytes) [time: 0.002 ms, acc_time: 797.875 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D6(0x7f6367004000) <- H6(0x557092f03640), 12000 bytes) [time: 0.011 ms, acc_time: 797.886 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D7(0x7f6367016000) <- H7(0x557092c1edc0), 100 bytes) [time: 0.003 ms, acc_time: 797.889 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D8(0x7f6367016200) <- H8(0x557092d5d7c0), 100 bytes) [time: 0.003 ms, acc_time: 797.892 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D9(0x7f6367016400) <- H9(0x557092d65480), 100 bytes) [time: 0.002 ms, acc_time: 797.894 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D10(0x7f6367016600) <- H10(0x557092da4380), 100 bytes) [time: 0.002 ms, acc_time: 797.896 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D11(0x7f6367016800) <- H11(0x557094109040), 8 bytes) [time: 0.002 ms, acc_time: 797.898 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D12(0x7f6367016a00) <- H12(0x557091c1c340), 2000 bytes) [time: 0.003 ms, acc_time: 797.901 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D13(0x7f6367018a00) <- H13(0x557092d701c0), 80 bytes) [time: 0.002 ms, acc_time: 797.903 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D14(0x7f6367018c00) <- H14(0x557092daaec0), 80 bytes) [time: 0.002 ms, acc_time: 797.905 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D15(0x7f6367018e00) <- H15(0x557092dd3980), 80 bytes) [time: 0.002 ms, acc_time: 797.907 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D16(0x7f6367019000) <- H16(0x557092e46d40), 80 bytes) [time: 0.002 ms, acc_time: 797.909 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D17(0x7f6367019200) <- H17(0x5570940b96c0), 8 bytes) [time: 0.002 ms, acc_time: 797.911 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D18(0x7f6367019400) <- H18(0x557091c1e380), 2000 bytes) [time: 0.003 ms, acc_time: 797.914 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D19(0x7f636701b400) <- H19(0x557091c20400), 1000 bytes) [time: 0.003 ms, acc_time: 797.917 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D20(0x7f636701c400) <- H20(0x557092f15680), 4000 bytes) [time: 0.004 ms, acc_time: 797.921 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D21(0x7f6367020400) <- H21(0x557092e566c0), 100 bytes) [time: 0.002 ms, acc_time: 797.923 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D22(0x7f6367020600) <- H22(0x557092e6b240), 100 bytes) [time: 0.002 ms, acc_time: 797.925 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D23(0x7f6367020800) <- H23(0x557092dcba00), 100 bytes) [time: 0.002 ms, acc_time: 797.927 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D24(0x7f6367020a00) <- H24(0x557092ed2c80), 100 bytes) [time: 0.002 ms, acc_time: 797.929 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D25(0x7f6367020c00) <- H25(0x55709417dd00), 8 bytes) [time: 0.002 ms, acc_time: 797.931 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D26(0x7f6367020e00) <- H26(0x557092be29c0), 100 bytes) [time: 0.002 ms, acc_time: 797.933 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D27(0x7f6367021000) <- H27(0x557092c4f580), 100 bytes) [time: 0.002 ms, acc_time: 797.935 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D28(0x7f6367021200) <- H28(0x557092cf9d80), 100 bytes) [time: 0.002 ms, acc_time: 797.937 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D29(0x7f6367021400) <- H29(0x557092d3f640), 100 bytes) [time: 0.002 ms, acc_time: 797.939 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D30(0x7f6367021600) <- H30(0x55709416d500), 8 bytes) [time: 0.002 ms, acc_time: 797.941 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D31(0x7f6367021800) <- H31(0x557091c21940), 1000 bytes) [time: 0.003 ms, acc_time: 797.944 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D32(0x7f6367022800) <- H32(0x557092e05000), 80 bytes) [time: 0.003 ms, acc_time: 797.947 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D33(0x7f6367022a00) <- H33(0x557092be5580), 80 bytes) [time: 0.002 ms, acc_time: 797.949 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D34(0x7f6367022c00) <- H34(0x557092cfd1c0), 80 bytes) [time: 0.002 ms, acc_time: 797.951 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D35(0x7f6367022e00) <- H35(0x557092d423c0), 80 bytes) [time: 0.002 ms, acc_time: 797.953 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D36(0x7f6367023000) <- H36(0x55709408e6c0), 8 bytes) [time: 0.002 ms, acc_time: 797.955 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D37(0x7f6367023200) <- H37(0x557092f19700), 9000 bytes) [time: 0.006 ms, acc_time: 797.961 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D38(0x7f636702c200) <- H38(0x557092be0ac0), 80 bytes) [time: 0.002 ms, acc_time: 797.963 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D39(0x7f636702c400) <- H39(0x557092e0bec0), 80 bytes) [time: 0.002 ms, acc_time: 797.965 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D40(0x7f636702c600) <- H40(0x557092b6c740), 80 bytes) [time: 0.002 ms, acc_time: 797.967 ms]

